Part Code,Description,Category,Subcategory,Quantity Type,,
SL0320,"2 3/4"" x 6m Solid Round Bar 316 S/S",Stainless Steel,Round Bar,Length,,
SL0321,"3"" x 6m Solid Round Bar 316 S/S",Stainless Steel,Round Bar,Length,,
SL0322,"31/2"" x 6m Solid round bar 316 S/S",Stainless Steel,Round Bar,Length,,
SL0323,"4"" x 6m Solid Round Bar 316 S/S",Stainless Steel,Round Bar,Length,,
SL0324,20mm x 6m Solid Round Bar 316 S/S,Stainless Steel,Round Bar,Length,,
SL0325,16mm x 6m Solid Round Bar 316 S/S,Stainless Steel,Round Bar,Length,,
SL0326,10mm x 5.8m Solid Round Bar 316 S/S,Stainless Steel,Round Bar,Length,,
SL0327,8mm x 5.8m Solid Round Bar 316 S/S,Stainless Steel,Hollow Bar,Length,,
SL0328,6mm x 5.8m Solid Round Bar 316 S/S,Stainless Steel,Round Bar,Length,,
SL0329,"1/2"" x 6m Solid Round Bar S/S 316S/S",Stainless Steel,Round Bar,Length,,
SL0330,1.5mm x 1.5 x 3m 2B Sheet 316 S/S,Stainless Steel,Plate,Each,,
SL0331,2mm x 1.5 x 3m 2B Sheet 316 S/S,Stainless Steel,Plate,Each,,
SL0332,3mm x 1.5 x 3m 2B Sheet 316 S/S,Stainless Steel,Plate,Each,,
SL0333,4mm x 1.5 x 3m 2B Plate 316 S/S,Stainless Steel,Plate,Each,,
SL0334,5mm x 1.5 x 3m Mill Plate 316 S/S,Stainless Steel,Plate,Each,,
SL0335,6mm x 1.5 x 3m Mill Plate 316 S/S,Stainless Steel,Plate,Each,,
SL0336,70mm Solid Round bar 6061 Aluminium,Aluminium,Round Bar,Length,,
SL0337,70mm Solid Round Bar Teflon White,Teflon,Round Bar,Length,,
SL0339,80mm Solid Round bar 6060 Aluminium,Aluminium,Round Bar,Length,,
SL0340,80mm Solid Round bar Teflon White,Teflon,Round Bar,Length,,
SL0341,8mm x 1.5 x 3m Mill Plate 316  S/S,Stainless Steel,Plate,Each,,
SL0342,10mm x 1.5 x 3m Mill Plate 316 S/S,Stainless Steel,Plate,Each,,
SL0343,12mm x 1.5 x 3m Mill Plate 316 S/S,Stainless Steel,Plate,Each,,
SL0344,89mm x 35mm Hollow Bar Bronze LG2,Bronze,Hollow Bar,Metre,,
SL0345,101.6mm x 38.1mm Hollow Bar Bronze LG2,Bronze,Hollow Bar,Metre,,
